Date,Open,High,Low,Close,Adj Close,Volume,Soma,Signal
1999-12-13,3.656808,3.660714,3.533482,3.535714,3.085665,132490400,132490400,-
1999-12-14,3.513393,3.5625,3.383929,3.388393,2.957095,108967600,241458000,-
1999-12-15,3.330357,3.473214,3.252232,3.464286,3.023328,155744400,397202400,+
1999-12-16,3.5,3.513393,3.357143,3.511161,3.064236,115956400,513158800,+
1999-12-17,3.602679,3.642857,3.517857,3.571429,3.116833,123751600,636910400,-
1999-12-20,3.555804,3.558036,3.450893,3.5,3.054496,70996800,707907200,-
1999-12-21,3.506696,3.680804,3.497768,3.660714,3.194754,76899200,784806400,+
1999-12-22,3.674107,3.734375,3.526786,3.569196,3.114885,81768400,866574800,-
1999-12-23,3.636161,3.723214,3.609375,3.696429,3.225921,57383200,923958000,+
1999-12-27,3.727679,3.729911,3.544643,3.546875,3.095405,42098000,966056000,-
1999-12-28,3.540179,3.558036,3.392857,3.506696,3.06034,61894000,1027950000,-
1999-12-29,3.457589,3.649554,3.410714,3.595982,3.138261,71125600,1099075600,+
1999-12-30,3.649554,3.71875,3.558036,3.582589,3.126573,51786000,1150861600,-
1999-12-31,3.604911,3.674107,3.553571,3.671875,3.204494,40952800,1191814400,+
2000-01-03,3.745536,4.017857,3.631696,3.997768,3.488905,133949200,1325763600,+
2000-01-04,3.866071,3.950893,3.613839,3.660714,3.194754,128094400,1453858000,-
2000-01-05,3.705357,3.948661,3.678571,3.714286,3.241507,194580400,1648438400,+
2000-01-06,3.790179,3.821429,3.392857,3.392857,2.960991,191993200,1840431600,-
2000-01-07,3.446429,3.607143,3.410714,3.553571,3.101249,115183600,1955615200,+
2000-01-10,3.642857,3.651786,3.383929,3.491071,3.046704,126266000,2081881200,-
2000-01-11,3.426339,3.549107,3.232143,3.3125,2.890863,110387200,2192268400,-
2000-01-12,3.392857,3.410714,3.089286,3.113839,2.717489,244017200,2436285600,-
2000-01-13,3.374442,3.526786,3.303571,3.455357,3.015536,258171200,2694456800,+
2000-01-14,3.571429,3.651786,3.549107,3.587054,3.130469,97594000,2792050800,+
2000-01-18,3.607143,3.785714,3.587054,3.712054,3.239558,114794400,2906845200,+
2000-01-19,3.772321,3.883929,3.691964,3.805804,3.321376,149410800,3056256000,+
2000-01-20,4.125,4.339286,4.053571,4.053571,3.537606,457783200,3514039200,-
2000-01-21,4.080357,4.080357,3.935268,3.975446,3.469424,123981200,3638020400,-
2000-01-24,3.872768,4.026786,3.754464,3.794643,3.311635,110219200,3748239600,-
2000-01-25,3.75,4.040179,3.65625,4.008929,3.498645,124286400,3872526000,+
2000-01-26,3.928571,4.078125,3.919643,3.935268,3.43436,91789600,3964315600,+
2000-01-27,3.886161,4.035714,3.821429,3.928571,3.428516,85036000,4049351600,+
2000-01-28,3.863839,3.959821,3.59375,3.629464,3.167482,105837200,4155188800,-
2000-01-31,3.607143,3.709821,3.375,3.705357,3.233715,175420000,4330608800,+
2000-02-01,3.714286,3.75,3.571429,3.580357,3.124625,79508800,4410117600,-
2000-02-02,3.598214,3.647321,3.464286,3.529018,3.079821,116048800,4526166400,-
2000-02-03,3.582589,3.723214,3.580357,3.689732,3.220078,118798400,4644964800,+
2000-02-04,3.712054,3.928571,3.700893,3.857143,3.366179,106330000,4751294800,+
2000-02-07,3.857143,4.080357,3.783482,4.073661,3.555138,110266800,4861561600,+
2000-02-08,4.071429,4.147321,3.973214,4.102679,3.580462,102160800,4963722400,+
2000-02-09,4.075893,4.183036,4.015625,4.022321,3.510333,74841200,5038563600,-
2000-02-10,4.03125,4.066964,3.928571,4.053571,3.537606,75745600,5114309200,+
2000-02-11,4.058036,4.075893,3.866071,3.883929,3.389555,53062800,5167372000,-
2000-02-14,3.904018,4.138393,3.879464,4.136161,3.609682,91884800,5259256800,+
2000-02-15,4.116071,4.283482,4.113839,4.25,3.709032,121436000,5380692800,+
2000-02-16,4.205357,4.21875,4.004464,4.075893,3.557086,94561600,5475254400,-
2000-02-17,4.113839,4.125,4.040179,4.102679,3.580462,72374400,5547628800,-
2000-02-18,4.09375,4.120536,3.959821,3.973214,3.467478,58360400,5605989200,-
2000-02-22,3.933036,4.176339,3.810268,4.064732,3.547345,105574000,5711563200,+
2000-02-23,4.044085,4.25,3.964286,4.151786,3.623318,118274800,5829838000,+
2000-02-24,4.189732,4.254464,3.991071,4.114398,3.59069,94108000,5923946000,-
2000-02-25,4.100446,4.178571,3.933036,3.941964,3.440205,62286000,5986232000,-
2000-02-28,3.933036,4.107143,3.870536,4.044643,3.529813,82082000,6068314000,+
2000-02-29,4.055804,4.1875,4.020089,4.09375,3.57267,92240400,6160554400,+
2000-03-01,4.234375,4.716518,4.232143,4.654018,4.061624,269250800,6429805200,+
2000-03-02,4.535714,4.569196,4.310268,4.357143,3.802536,77814800,6507620000,-
2000-03-03,4.459821,4.579799,4.285714,4.571429,3.989547,80841600,6588461600,+
2000-03-06,4.5,4.611607,4.464286,4.488839,3.917468,52640000,6641101600,-
2000-03-07,4.515625,4.551339,4.325893,4.388393,3.829809,68252800,6709354400,-
2000-03-08,4.388393,4.426339,4.234375,4.357143,3.802536,67807600,6777162000,-
2000-03-09,4.316964,4.464286,4.223214,4.366071,3.810329,69179600,6846341600,+
2000-03-10,4.345982,4.569196,4.321429,4.491071,3.919418,62151600,6908493200,+
2000-03-13,4.361607,4.517857,4.267857,4.332589,3.781108,75989200,6984482400,-
2000-03-14,4.329241,4.4375,4.071429,4.080357,3.560982,107144800,7091627200,-
2000-03-15,4.129464,4.294643,4.075893,4.151786,3.623318,110902400,7202529600,+
2000-03-16,4.189732,4.357143,4.089286,4.341518,3.7889,94525200,7297054800,+
2000-03-17,4.290179,4.464286,4.272321,4.464286,3.896042,76260800,7373315600,+
2000-03-20,4.410714,4.508929,4.370536,4.392857,3.833704,51122400,7424438000,-
2000-03-21,4.377232,4.883929,4.34375,4.819196,4.205776,131082000,7555520000,+
2000-03-22,4.742188,5.15625,4.698661,5.149554,4.494083,141999200,7697519200,+
2000-03-23,5.071429,5.370536,5.0,5.046875,4.404474,140641200,7838160400,-
2000-03-24,5.087054,5.140625,4.839286,4.953125,4.322657,111728400,7949888800,-
2000-03-27,4.915179,5.169643,4.888393,4.984375,4.349929,69795600,8019684400,+
2000-03-28,4.901786,5.071429,4.897321,4.96875,4.336292,50741600,8070426000,+
2000-03-29,4.977679,4.979911,4.779576,4.854911,4.236945,59959200,8130385200,-
2000-03-30,4.770089,4.917411,4.479911,4.491071,3.919418,103600000,8233985200,-
2000-03-31,4.551339,4.901786,4.5,4.850446,4.233049,101158400,8335143600,+
2000-04-03,4.839286,4.982143,4.622768,4.761161,4.155127,82140800,8417284400,-
2000-04-04,4.736607,4.75,4.169643,4.546875,3.968118,165082400,8582366800,-
2000-04-05,4.516741,4.745536,4.428571,4.65625,4.063571,114416400,8696783200,+
2000-04-06,4.665179,4.803571,4.401786,4.470982,3.901885,64906800,8761690000,-
2000-04-07,4.544643,4.709821,4.482143,4.705357,4.106428,60608800,8822298800,+
2000-04-10,4.703125,4.741071,4.455357,4.464286,3.896042,53065600,8875364400,-
2000-04-11,4.410714,4.459821,4.216518,4.265625,3.722667,135455600,9010820000,-
2000-04-12,4.25,4.25,3.745536,3.901786,3.40514,235284000,9246104000,-
2000-04-13,3.982143,4.285714,3.875,4.064732,3.547345,132456800,9378560800,+
2000-04-14,3.904018,4.214286,3.892857,3.995536,3.486956,166905200,9545466000,+
2000-04-17,3.910714,4.426339,3.895089,4.424107,3.860977,102390400,9647856400,+
2000-04-18,4.410714,4.53125,4.263393,4.53125,3.954481,97731200,9745587600,+
2000-04-19,4.506696,4.651786,4.276786,4.325893,3.775265,130037600,9875625200,-
2000-04-20,4.417411,4.455357,4.180804,4.245536,3.705135,180530000,10056155200,-
2000-04-24,4.107143,4.303571,4.098214,4.303571,3.755785,110905200,10167060400,+
2000-04-25,4.361607,4.598214,4.359375,4.582589,3.999287,97910400,10264970800,+
2000-04-26,4.522321,4.571429,4.285714,4.332589,3.781108,91728000,10356698800,-
2000-04-27,4.185268,4.535714,4.163505,4.526786,3.950587,81650800,10438349600,+
2000-04-28,4.540179,4.553571,4.332589,4.430804,3.866821,62395200,10500744800,-
2000-05-01,4.459821,4.46875,4.352679,4.439732,3.874612,56548800,10557293600,-
2000-05-02,4.401786,4.508929,4.196429,4.209821,3.673967,59108000,10616401600,-
2000-05-03,4.247768,4.330357,3.986607,4.109375,3.586306,122449600,10738851200,-
2000-05-04,4.111607,4.116071,3.948661,3.953125,3.449945,99878800,10838730000,-
2000-05-05,3.957589,4.098214,3.954241,4.040179,3.525917,71019200,10909749200,+
2000-05-08,4.003348,4.060268,3.928571,3.933036,3.432412,46225200,10955974400,-
2000-05-09,3.939732,3.973214,3.745536,3.765625,3.286311,81785200,11037759600,-
2000-05-10,3.716518,3.75,3.526786,3.546875,3.095405,133772800,11171532400,-
2000-05-11,3.620536,3.723214,3.535714,3.671875,3.204494,124936000,11296468400,+
2000-05-12,3.785714,3.946429,3.741629,3.84375,3.354491,76728400,11373196800,+
2000-05-15,3.859375,3.859375,3.575893,3.607143,3.148001,169733200,11542930000,-
2000-05-16,3.732701,3.895089,3.669643,3.774554,3.294103,110112800,11653042800,+
2000-05-17,3.700893,3.703125,3.584821,3.620536,3.159689,99523200,11752566000,-
2000-05-18,3.678571,3.747768,3.59375,3.598214,3.140209,93444400,11846010400,-
2000-05-19,3.544643,3.544643,3.334821,3.357143,2.929823,185166800,12031177200,-
