ProcessorLoad,MemoryUsage,OutBandwidth,Latency,CLPVariation
0.203,0.439,0.477,0.965,0.762
0.177,0.515,0.677,0.944,0.762
0.947,0.802,0.598,0.619,-0.757
0.671,0.758,0.926,0.842,-0.057
0.898,0.17,0.513,0.943,-0.762
0.711,0.537,0.448,0.862,0.76
0.46,0.887,0.987,0.005,-0.765
0.073,0.614,0.571,0.951,0.762
0.328,0.295,0.952,0.884,0.762
0.998,0.033,0.384,0.577,-0.595
0.174,0.48,0.619,0.456,0.765
0.978,0.483,0.414,0.994,-0.755
0.52,0.007,0.982,0.603,0.764
0.186,0.758,0.756,0.148,0.29
0.008,0.395,0.927,0.327,0.765
0.319,0.754,0.263,0.518,0.745
0.172,0.17,0.841,0.513,0.765
0.893,0.722,0.831,0.316,-0.765
0.599,0.158,0.988,0.023,0.765
0.971,0.788,0.186,0.169,-0.297
0.308,0.471,0.516,0.749,0.762
0.348,0.387,0.911,0.768,0.762
0.119,0.431,0.048,0.851,0.765
0.825,0.589,0.852,0.932,-0.762
0.008,0.945,0.639,0.338,-0.765
0.819,0.532,0.608,0.568,-0.765
0.811,0.249,0.29,0.588,-0.452
0.368,0.205,0.344,0.754,0.756
0.043,0.755,0.66,0.13,0.322
0.431,0.308,0.793,0.835,0.762
0.974,0.163,0.63,0.831,-0.761
0.846,0.143,0.282,0.823,-0.456
0.834,0.245,0.137,0.752,-0.297
0.041,0.334,0.523,0.27,0.761
0.832,0.189,0.043,0.398,-0.297
0.522,0.693,0.033,0.625,0.761
0.393,0.468,0.709,0.173,0.765
0.658,0.168,0.819,0.402,0.765
0.737,0.506,0.902,0.424,0.208
0.239,0.276,0.513,0.958,0.762
0.658,0.951,0.056,0.622,-0.297
0.498,0.021,0.092,0.757,0.765
0.913,0.768,0.966,0.542,-0.765
0.099,0.277,0.934,0.558,0.765
0.648,0.857,0.03,0.311,-0.297
0.377,0.735,0.793,0.409,0.58
0.41,0.912,0.469,0.249,-0.75
0.636,0.214,0.17,0.359,0.765
0.404,0.723,0.848,0.204,0.589
0.197,0.593,0.564,0.846,0.762
0.24,0.377,0.336,0.207,0.756
0.965,0.382,0.617,1.0,-0.761
0.371,0.678,0.888,0.148,0.717
0.599,0.716,0.235,0.706,0.439
0.697,0.006,0.573,0.428,0.765
0.163,0.682,0.307,0.367,0.752
0.314,0.926,0.161,0.874,-0.297
0.814,0.642,0.116,0.903,-0.297
0.791,0.549,0.482,0.971,-0.733
0.25,0.49,0.791,0.427,0.765
0.744,0.22,0.619,0.671,0.574
0.75,0.109,0.037,0.983,0.746
0.295,0.881,0.674,0.086,-0.765
0.616,0.169,0.73,0.002,0.765
0.715,0.537,0.138,0.043,0.759
0.695,0.17,0.84,0.317,0.765
0.587,0.297,0.265,0.732,0.757
0.83,0.226,0.397,0.757,-0.687
0.762,0.384,0.6,0.133,0.418
0.001,0.39,0.426,0.065,0.764
0.699,0.861,0.835,0.877,-0.762
0.385,0.79,0.723,0.05,0.012
0.247,0.979,0.296,0.929,-0.477
0.058,0.03,0.403,0.676,0.763
0.316,0.215,0.066,0.985,0.765
0.108,0.31,0.572,0.151,0.765
0.179,0.735,0.433,0.307,0.743
0.872,0.155,0.795,0.098,-0.765
0.652,0.706,0.579,0.559,0.158
0.787,0.551,0.38,0.009,-0.549
0.2,0.106,0.157,0.236,0.765
0.221,0.871,0.198,0.907,-0.297
0.262,0.043,0.386,0.606,0.76
0.762,0.844,0.907,0.708,-0.761
0.373,0.118,0.057,0.601,0.765
0.827,0.622,0.639,0.29,-0.765
0.568,0.131,0.204,0.773,0.765
0.303,0.327,0.803,0.245,0.765
0.44,0.721,0.995,0.904,0.743
0.212,0.188,0.629,0.451,0.765
0.684,0.503,0.2,0.062,0.754
0.003,0.708,0.684,0.526,0.707
0.66,0.234,0.281,0.288,0.751
0.491,0.603,0.224,0.578,0.741
0.527,0.692,0.973,0.817,0.762
0.085,0.017,0.655,0.149,0.765
0.144,0.432,0.112,0.331,0.765
0.58,0.493,0.509,0.37,0.481
0.65,0.071,0.148,0.198,0.765
0.058,0.125,0.794,0.136,0.765
0.212,0.668,0.686,0.877,0.762
0.018,0.665,0.804,0.806,0.762
0.578,0.113,0.685,0.309,0.765
0.566,0.165,0.473,0.983,0.762
0.121,0.625,0.884,0.344,0.765
0.018,0.421,0.718,0.491,0.765
0.407,0.398,0.309,0.598,0.75
0.418,0.4,0.323,0.556,0.749
0.113,0.047,0.582,0.392,0.765
0.167,0.059,0.782,0.442,0.765
0.748,0.518,0.567,0.7,0.733
0.958,0.315,0.613,0.815,-0.761
0.818,0.29,0.084,0.031,-0.297
0.495,0.182,0.518,0.306,0.758
0.811,0.219,0.712,0.8,-0.762
0.026,0.213,0.817,0.945,0.762
0.517,0.647,0.246,0.678,0.753
0.948,0.702,0.543,0.341,-0.765
0.821,0.836,0.126,0.428,-0.297
0.781,0.357,0.321,0.401,0.753
0.209,0.853,0.626,0.687,-0.756
0.97,0.618,0.378,0.403,-0.621
0.66,0.032,0.532,0.593,0.765
0.835,0.571,0.437,0.6,-0.763
0.526,0.072,0.601,0.165,0.765
0.783,0.016,0.015,0.197,0.22
0.284,0.617,0.782,0.697,0.76
0.789,0.989,0.86,0.709,-0.761
0.066,0.853,0.108,0.547,-0.297
0.353,0.702,0.283,0.174,0.75
0.297,0.865,0.691,0.9,-0.762
0.298,0.179,0.632,0.577,0.765
0.21,0.611,0.05,0.342,0.765
0.255,0.474,0.902,0.593,0.765
0.302,0.432,0.267,0.509,0.756
0.728,0.276,0.417,0.798,0.748
0.302,0.311,0.389,0.597,0.76
0.346,0.557,0.193,0.745,0.765
0.343,0.849,0.694,0.555,-0.765
0.71,0.712,0.285,0.739,0.477
0.151,0.258,0.236,0.099,0.765
0.356,0.293,0.71,0.736,0.762
0.206,0.563,0.121,0.942,0.765
0.117,0.9,0.95,0.177,-0.765
0.801,0.113,0.929,0.632,-0.75
0.699,0.025,0.632,0.494,0.765
0.951,0.261,0.662,0.429,-0.765
0.882,0.509,0.319,0.019,-0.512
0.895,0.042,0.594,0.771,-0.761
0.264,0.062,0.533,0.922,0.762
0.555,0.238,0.484,0.082,0.742
0.523,0.772,0.26,0.935,0.11
0.769,0.871,0.811,0.002,-0.765
0.625,0.037,0.133,0.903,0.765
0.836,0.266,0.846,0.465,-0.765
0.955,0.015,0.005,0.603,-0.297
0.372,0.882,0.83,0.839,-0.762
0.997,0.152,0.857,0.426,-0.765
0.789,0.489,0.363,0.567,-0.066
0.155,0.63,0.969,0.505,0.765
0.907,0.529,0.611,0.991,-0.761
0.368,0.423,0.544,0.917,0.762
0.827,0.128,0.207,0.868,-0.32
0.552,0.273,0.78,0.913,0.762
0.147,0.999,0.857,0.939,-0.762
0.759,0.699,0.742,0.948,0.078
0.703,0.113,0.142,0.141,0.763
0.655,0.094,0.192,0.182,0.765
0.397,0.26,0.779,0.279,0.765
0.512,0.612,0.032,0.911,0.745
0.726,0.553,0.955,0.143,0.021
0.45,0.127,0.879,0.826,0.762
0.827,0.889,0.874,0.434,-0.765
0.133,0.356,0.382,0.827,0.761
0.149,0.722,0.329,0.061,0.752
0.44,0.901,0.326,0.29,-0.523
0.153,0.367,0.893,0.711,0.761
0.39,0.231,0.472,0.662,0.746
0.978,0.639,0.43,0.015,-0.763
0.045,0.601,0.315,0.819,0.753
0.299,0.328,0.02,0.202,0.765
0.308,0.866,0.255,0.822,-0.416
0.583,0.844,0.109,0.391,-0.297
0.018,0.131,0.128,0.031,0.765
0.639,0.328,0.188,0.485,0.765
0.837,0.501,0.882,0.176,-0.765
0.895,0.448,0.847,0.627,-0.752
0.161,0.538,0.397,0.27,0.762
0.016,0.606,0.918,0.938,0.762
0.17,0.368,0.966,0.435,0.765
0.903,0.355,0.485,0.844,-0.762
0.048,0.557,0.872,0.65,0.741
0.296,0.818,0.977,0.37,-0.765
0.224,0.008,0.362,0.641,0.757
0.457,0.455,0.735,0.134,0.628
0.825,0.312,0.183,0.114,-0.297
0.545,0.612,0.108,0.283,0.756
0.54,0.92,0.551,0.024,-0.765
0.123,0.757,0.123,0.72,0.752
0.664,0.876,0.513,0.106,-0.756
0.971,0.079,0.258,0.625,-0.42
0.929,0.107,0.581,0.34,-0.765
0.274,0.327,0.505,0.158,0.751
0.435,0.471,0.837,0.132,0.716
0.908,0.932,0.535,0.052,-0.765
0.307,0.811,0.118,0.942,-0.297
0.972,0.52,0.216,0.391,-0.345
0.03,0.013,0.003,0.311,0.765
0.486,0.485,0.503,0.262,0.51
0.192,0.728,0.959,0.758,0.748
0.691,0.249,0.725,0.608,0.762
0.747,0.055,0.239,0.459,0.744
0.996,0.022,0.559,0.402,-0.765
0.706,0.433,0.564,0.974,0.74
0.281,0.027,0.028,0.648,0.765
0.017,0.386,0.564,0.0,0.765
0.187,0.429,0.19,0.588,0.765
0.487,0.565,0.061,0.857,0.743
0.665,0.19,0.429,0.603,0.764
0.556,0.661,0.991,0.04,0.208
0.173,0.966,0.963,0.369,-0.765
0.897,0.496,0.212,0.861,-0.335
0.446,0.831,0.307,0.747,-0.493
0.354,0.707,0.359,0.434,0.757
0.773,0.184,0.665,0.053,0.211
0.724,0.514,0.523,0.058,0.318
0.717,0.877,0.21,0.143,-0.329
0.021,0.137,0.493,0.265,0.744
0.086,0.755,0.734,0.802,0.75
0.966,0.986,0.432,0.18,-0.763
0.336,0.223,0.515,0.296,0.757
0.714,0.183,0.844,0.805,0.757
0.441,0.327,0.227,0.353,0.765
0.21,0.647,0.335,0.382,0.755
0.541,0.868,0.539,0.175,-0.765
0.538,0.471,0.801,0.142,0.564
0.218,0.954,0.58,0.701,-0.761
0.588,0.31,0.435,0.823,0.763
0.024,0.374,0.678,0.503,0.765
0.788,0.912,0.762,0.251,-0.765
0.915,0.557,0.192,0.051,-0.297
0.341,0.16,0.984,0.664,0.746
0.879,0.675,0.93,0.979,-0.762
0.932,0.411,0.101,0.449,-0.297
0.208,0.904,0.801,0.835,-0.762
0.721,0.336,0.47,0.863,0.752
0.894,0.482,0.923,0.078,-0.765
0.983,0.825,0.311,0.703,-0.499
0.037,0.832,0.895,0.638,-0.746
0.493,0.435,0.197,0.9,0.761
0.738,0.273,0.077,0.217,0.74
0.614,0.087,0.122,0.07,0.765
0.627,0.626,0.444,0.273,0.76
0.879,0.212,0.345,0.897,-0.556
0.239,0.508,0.971,0.526,0.765
0.803,0.718,0.229,0.412,-0.374
0.373,0.158,0.256,0.563,0.761
0.544,0.992,0.612,0.888,-0.761
0.246,0.595,0.631,0.307,0.765
0.074,0.603,0.022,0.244,0.765
0.598,0.281,0.901,0.598,0.765
0.908,0.549,0.046,0.03,-0.297
0.365,0.975,0.358,0.383,-0.576
0.801,0.197,0.546,0.143,-0.765
0.994,0.093,0.509,0.202,-0.754
0.425,0.893,0.419,0.844,-0.764
0.478,0.245,0.758,0.612,0.76
0.763,0.356,0.976,0.442,0.36
0.036,0.585,0.664,0.765,0.762
0.015,0.637,0.199,0.885,0.765
0.64,0.464,0.946,0.604,0.495
0.476,0.914,0.008,0.988,-0.297
0.499,0.636,0.398,0.27,0.746
0.053,0.749,0.261,0.699,0.745
0.748,0.989,0.452,0.111,-0.76
0.528,0.269,0.749,0.482,0.765
0.314,0.872,0.955,0.951,-0.762
0.264,0.515,0.611,0.128,0.765
0.298,0.695,0.01,0.657,0.765
0.951,0.563,0.35,0.22,-0.565
0.019,0.617,0.926,0.847,0.762
0.432,0.41,0.595,0.6,0.765
0.46,0.863,0.035,0.105,-0.297
0.978,0.154,0.128,0.058,-0.297
0.75,0.657,0.584,0.102,-0.159
0.956,0.155,0.546,0.374,-0.765
0.48,0.901,0.938,0.24,-0.765
0.425,0.475,0.12,0.87,0.765
0.888,0.53,0.387,0.789,-0.655
0.867,0.498,0.644,0.441,-0.765
0.93,0.382,0.879,0.494,-0.765
0.966,0.33,0.507,0.717,-0.761
0.599,0.226,0.896,0.47,0.765
0.322,0.422,0.969,0.485,0.765
0.124,0.489,0.738,0.188,0.765
0.732,0.12,0.752,0.353,0.528
0.185,0.638,0.68,0.43,0.765
0.696,0.808,0.736,0.442,-0.765
0.313,0.016,0.054,0.179,0.765
0.963,0.113,0.662,0.088,-0.765
0.882,0.622,0.816,0.791,-0.762
0.838,0.332,0.79,0.858,-0.762
0.422,0.362,0.156,0.738,0.765
0.399,0.239,0.441,0.882,0.762
0.482,0.633,0.907,0.608,0.448
0.025,0.302,0.035,0.246,0.765
0.003,0.221,0.823,0.574,0.765
0.177,0.179,0.825,0.434,0.765
0.368,0.327,0.317,0.183,0.753
0.916,0.271,0.393,0.288,-0.674
0.06,0.164,0.99,0.731,0.762
0.298,0.056,0.605,0.065,0.765
